Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Category_Label,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Rising Rate degree min-1,Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M),O2 saturated/1 for yes,Overpotential mV @10 mA cm-2
Ru,Mn,Ca,Pr,B5_500_BEST_#1_Full(#16),best_full_500,47,24,20,9,60,630,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,182
Ru,Zn,Sr,Pr,B5_500_BEST_#1_High_Quality(#17),best_high_quliaty_500,60,19,15,6,45,450,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,215
Ru,K,Sr,Pr,B5_500_BEST_#1_High_Quality(#18),best_high_quliaty_500,60,25,13,2,60,380,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,209
Ru,Ca,Sr,Pr,B5_500_BEST_#1_High_Quality(#19),best_high_quliaty_500,59,24,14,3,53,490,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,192
Ru,Mn,Sr,Pr,B5_500_BEST_#1_High_Quality(#20),best_high_quliaty_500,59,26,10,5,42,590,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,215
Ru,Ni,Sr,Nd,B5_500_BEST_#1_High_Quality(#21),best_high_quliaty_500,58,23,14,5,60,650,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,208
Ru,Zn,Sr,Gd,B5_500_BEST_#1_High_Quality(#22),best_high_quliaty_500,58,23,14,5,60,480,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,215
Ru,Zn,Sr,Nd,B5_500_BEST_#1_High_Quality(#23),best_high_quliaty_500,57,22,18,3,46,710,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,219
Ru,Zn,Sr,Pr,B5_500_BEST_#1_High_Quality(#24),best_high_quliaty_500,56,28,10,6,60,680,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,195
Ru,Mn,Sr,Nd,B5_500_BEST_#1_High_Quality(#25),best_high_quliaty_500,54,22,15,9,60,670,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,196
Ru,K,Sr,Nd,B5_500_BEST_#1_High_Quality(#26),best_high_quliaty_500,53,28,14,5,60,640,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,220
Ru,Zn,Sr,Gd,B5_500_BEST_#1_High_Quality(#27),best_high_quliaty_500,53,28,17,2,60,730,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,356
Ru,K,Sr,Pr,B5_500_BEST_#1_High_Quality(#28),best_high_quliaty_500,52,29,12,7,60,460,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,188
Ru,Mn,Sr,Pr,B5_500_BEST_#1_High_Quality(#29),best_high_quliaty_500,48,29,20,3,39,710,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,217
Ru,Zn,Sr,Pr,B5_500_BEST_#1_High_Quality(#30),best_high_quliaty_500,47,27,19,7,60,550,1,0,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,196
Ru,K,Sr,Gd,B5_500_BEST_#1_High_Quality(#31),best_high_quliaty_500,47,39,10,4,60,700,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,213
Ru,Ca,Sr,Nd,B5_500_BEST_#1_High_Quality(#32),best_high_quliaty_500,46,28,17,9,60,570,1,1,0,0,500,1.67,120,0,0,0,1,0.5,0,0,0,5,1,1,168
