DOI,Country,Facility,Journal,Impact Factor,Published Date,Cited Times,Number of days until 01/20/2023,Average cited times per day,Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Metal_Dopant_1_Proportion_Precursor,Metal_Dopant_2_Proportion_Precursor,Metal_Dopant_3_Proportion_Precursor,Metal_Dopant_4_Proportion_Precursor,Hydrothermal/Mixing Temperature (degree),Hydrothermal/Mixing Time (min),Hydrothermal/Mixing Strring/Ultrasonication,Hydrothermal/Mixing Strong Reductant in Liquid,Hydrothermal/Mixing Weak Reductant in Liquid,Hydrothermal/Mixing Mixed in Solid or Liquired,Annealing Temperature (degree),Annealing Rising Rate degree min-1,Annealing Time (min),Annealing Stirring,Annealing Inert Atmosphere,Annealing Reductive Atmosphere,Post ProcessingAcid Wash/Leaching/Quenching/Ultrasonication,Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support not Carbon,Electrode type Glassy Carbon/Carbon Paper (Ti Mesh),LSV Scanning Speed mV s-1,Electrolyte Proton Concentration (M),O2 saturated/1 for yes,Overpotential mV @10 mA cm-2
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Re,B2_BEST_400#13_High_Quality,47,39,10,4,53,630,1,0,0,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,233
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Nd,B2_BEST_400#14_High_Quality,40,39,13,8,38,650,1,0,0,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,218
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Er,B2_BEST_400#15_High_Quality,54,23,15,8,60,670,1,0,0,0,400,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,296
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Gd,B2_BEST_400#16_High_Quality,45,41,10,4,36,660,1,0,0,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,253
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Ta,B2_BEST_400#17_High_Quality,60,25,10,5,30,750,1,0,0,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,250
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,In,B2_BEST_400#18_Full,51,25,17,7,59,890,1,0,0,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,272
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Li,B2_BEST_400#19_Full,39,35,19,7,46,820,1,0,1,0,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,241
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Sm,B2_BEST_400#20_High_Quality,39,39,11,11,60,1440,1,0,0,1,400,1.67,360,0,0,0,1,0.5,0,0,0,5,1,1,274
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,Ru,Sr,Ir,Li,B2_BEST_500#1_Full,43,28,20,9,27,690,1,0,0,0,500,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,257
2nd batch experiments,Hong Kong,HKUST,EXP,0,2/9/2023,0,0,0,K,Ru,Ir,Pr,B2_VARIANCE_500#2_High_Quality,47,38,13,2,49,800,1,0,0,0,500,1.67,360,0,0,0,0,0.5,0,0,0,5,1,1,247
